time,ai,data,good,movie,spark
2019-11-17 15:54:55 UTC,23,4,12,188,10
2019-11-17 15:49:55 UTC,7,6,6,197,11
2019-11-17 15:50:55 UTC,12,6,8,211,8
2019-11-17 15:51:55 UTC,11,5,7,180,9
2019-11-17 15:45:55 UTC,12,11,9,217,4
2019-11-17 15:48:55 UTC,11,2,6,191,13
2019-11-17 15:44:55 UTC,8,5,6,203,1
2019-11-17 15:53:55 UTC,12,6,5,205,12
2019-11-17 15:55:55 UTC,8,2,8,191,9
2019-11-17 15:43:55 UTC,7,0,6,234,5
2019-11-17 15:42:55 UTC,12,2,8,185,5
2019-11-17 15:46:55 UTC,5,3,4,224,8
2019-11-17 15:47:55 UTC,12,3,10,209,9
2019-11-17 15:52:55 UTC,12,5,11,192,18
