"","County","White","Black/African American","Other Race","Multi-racial"
"1","Westchester","100","114.76","100","100"
"2","Sullivan","100","106.31","100","121.4"
"3","Manhattan","100","89.14","91.59","111.72"
"4","Bronx","100","100","165.25","143.13"
"5","Livingston","100","100","100","0"
"6","Orange","100","100","89.55","89.94"
"7","Rockland","100","115.46","100","100"
"8","Columbia","100","100","100","0"
"9","Kings","100","100","111.54","130.57"
"10","Nassau","100","100","105.67","61.3"
"11","Queens","100","67.69","97.49","100"
"12","Onondaga","100","100","100","100"
"13","Allegany","100","0","0","0"
"14","Erie","100","120.07","100","0"
"15","Rensselaer","100","100","100","0"
"16","Richmond","100","107.49","105.45","100"
"17","Suffolk","100","108.93","106.82","100"
"18","Niagara","100","100","100","100"
"19","Jefferson","100","100","100","0"
"20","Otsego","100","100","100","100"
"21","Schenectady","100","100","96.97","0"
"22","Monroe","100","100","88.14","100"
"23","Ontario","100","100","100","0"
"24","Steuben","100","100","100","100"
"25","Albany","100","100","129.96","0"
"26","Franklin","100","0","100","100"
"27","Ulster","100","100","100","0"
"28","Chautauqua","100","157.79","60.63","100"
"29","Genesee","100","100","100","100"
"30","Wyoming","100","0","0","0"
"31","Chemung","100","100","110.75","0"
"32","Wayne","100","100","100","79.6"
"33","Broome","100","100","100","0"
"34","Chenango","100","100","122.09","0"
"35","Lewis","100","0","0","0"
"36","Madison","100","125.41","100","0"
"37","Fulton","100","100","100","0"
"38","Montgomery","100","90.79","100","0"
"39","Dutchess","100","109.7","107.1","100"
"40","Putnam","100","100","100","0"
"41","Cattaraugus","100","100","100","0"
"42","Cayuga","100","100","100","0"
"43","Cortland","100","100","100","0"
"44","Oneida","100","109.43","91.95","0"
"45","Oswego","100","100","100","0"
"46","St Lawrence","100","100","100","0"
"47","Tompkins","100","127.55","100","0"
"48","Saratoga","100","100","100","0"
"49","Clinton","100","100","100","0"
"50","Warren","100","219.87","100","0"
